artist,title,regDate,wave
레이디스 코드,예뻐 예뻐,2016-09-09 16:33,1
마로니에,칵테일 사랑,2018-10-18 0:53,1
마미손,소년점프 (Feat. 배기성).mp3,2019-05-25 20:14,1
언니쓰,Shut Up (Feat. 유희열).mp3,2018-09-22 3:23,1
프로미스나인,LOVE BOMB,2018-10-12 1:17,1
"매드클라운, 도넛맨 (Donutman), 보이비, 샵건",무궁화,2018-09-22 15:55,2
모모랜드 (MOMOLAND),BAAM,2018-08-01 13:40,2
소방차,어젯밤 이야기,2018-08-18 14:46,2
스윙스,불도저 (Bulldozer),2018-12-03 0:26,2
예지,함부로 해줘 (Feat. 한해),2016-05-05 11:52,2
지민 (AOA),Puss (Prod. by 라이머),2016-05-05 11:52,2
헤이즈 (Heize),돈 벌지마 (Feat. 찬열 Of EXO),2016-05-05 11:52,2
2NE1,Fire,2020-03-01 4:22,3
2NE1,Go Away,2020-06-15 1:45,3
2NE1,내가 제일 잘 나가,2020-04-21 21:07,3
AOA,ELVIS,2020-06-24 0:05,3
AOA,Excuse Me,2015-12-19 20:10,3
Apink (에이핑크),1도 없어,2018-07-23 21:13,3
G-DRAGON,크레용 (Crayon),2016-07-06 0:02,3
지민 (AOA),야 하고 싶어 (Feat. 시우민 of EXO),2016-05-05 11:52,3
AOA,심쿵해 (Heart Attack),2015-12-19 20:10,4
BE'O (비오),MBTI (Feat. 쿠기 & 로꼬) (Prod. GRAY),2021-11-28 23:34,4
EXID,아예 (Ah Yeah),2019-09-05 23:49,4
Lil Nas X,Kick It,2019-07-15 20:51,4
Lil Nas X,Sonic Shit,2019-05-11 23:04,4
Red Velvet (레드벨벳),RBB (Really Bad Boy),2019-06-22 1:15,4
San E,나쁜X (BAD YEAR),2016-11-25 17:38,4
걸스데이,링마벨 (Ring My Bell),2016-06-24 21:14,4
마마무 (Mamamoo),Decalcomanie (데칼코마니),2018-09-22 3:03,4
모모랜드 (MOMOLAND),뿜뿜,2018-02-23 20:52,4
박진영,어머님이 누구니 (Feat. 제시),2017-07-15 15:37,4
방탄소년단,IDOL,2019-02-24 3:22,4
선미,사이렌 (Siren),2019-01-16 7:31,4
선미,주인공,2018-02-12 14:43,4
씨스타,I Like That,2016-07-06 0:02,4
씨잼 (C Jamm),재방송 (Let it be) (Feat. Crush),2016-07-16 1:18,4
아이오아이 (I.O.I),Whatta Man (Good man),2016-08-09 0:46,4
아이오아이 (I.O.I),너무너무너무,2016-10-19 15:37,4
오마이걸 반하나,바나나 알러지 원숭이,2018-06-05 19:54,4
임창정,문을 여시오 (Feat. 김창렬),2016-09-19 23:11,4
장미하관 (노홍철 & 장미여관),오빠라고 불러다오,2015-11-17 18:38,4
정준영,이별 10분 전,2016-03-02 20:53,4
철싸 (노홍철 & 싸이),흔들어 주세요,2016-06-25 21:57,4
현아 (4minute),빨개요,2016-07-06 0:02,4
올티,투올더언에듀케이티드키즈 투,2019-09-29 1:27,5
ODEE,에어플레인모드 (Feat. 스윙스),2018-11-05 22:16,6
10CM,니가 참 좋아,2017-02-01 14:02,7
Daniel Kim,POP DANTHOLOGY 2012,2016-08-02 21:32,7
MC그리,이불 밖은 위험해,2016-10-15 12:41,7
San E,나 왜이래 (Feat. 강민희),2016-07-06 0:02,7
"San E, 레이나",달고나,2017-11-17 23:30,7
"San E, 매드클라운",너랑나랑노랑 (Feat. 범키),2018-04-03 20:46,7
TWICE,NEXT PAGE,2016-11-01 23:37,7
TWICE,ONE IN A MILLION,2016-11-01 23:37,7
TWICE,Touchdown,2016-05-05 11:52,7
TWICE,Truth,2015-11-17 18:38,7
걸스데이,Darling,2016-06-25 21:57,7
"매드클라운, 브라더수",만화처럼 (Like Romance Comics),2016-02-22 19:43,7
박보람,연예할래,2016-06-24 21:14,7
"소유, 매드클라운",착해 빠졌어 (Stupid In Love),2016-07-06 0:02,7
에디킴,내 입술 따뜻한 커피처럼 (Feat. 이성경),2016-05-05 11:52,7
예지,"Solo (Remix) (Prod. By 박재범, Cha Cha Malone) (Feat. 박재범, 로꼬)",2016-05-05 11:52,7
예지,미친개 (Feat. San E),2015-12-19 20:21,7
예지,사이다,2016-02-02 17:09,7
우리 동네 음악대장,걱정말아요 그대 (우리동네 음악대장),2016-02-22 19:43,7
"이유 갓지(GOD G) 않은 이유 (박명수, 아이유)",레옹,2015-11-17 18:38,7
형용돈죵 (정형돈 & G-Dragon),해볼라고,2015-11-17 18:38,7
"황태지 (황광희, 태양, 지드래곤)",맙소사,2015-11-17 18:38,7
방탄소년단,쩔어,2018-03-02 22:50,8
오마이걸,살짝 설렜어 (Nonstop),2020-09-11 2:54,8
"Ariana Grande, Normani & Nicki Minaj",Bad to You,2020-01-14 3:39,9
TWICE,SIGNAL,2017-06-16 23:54,9
정준영,공감 (Feat. 서영은),2016-03-02 20:53,9
"종현, 정준영",애월 (愛月),2016-01-15 12:33,9
40,꿀,2015-12-19 20:20,10
(여자)아이들,퀸카 (Queencard),2023-05-27 10:37,10
AOA,GET OUT,2023-02-02 1:22,10
AOA,Good Luck,2016-05-16 0:03,10
AOA,단발머리 (Short Hair),2015-12-19 20:10,10
EXID,HOT PINK,2015-12-19 20:21,10
EXID,L.I.E,2016-06-02 18:34,10
EXID,낮보다는 밤,2017-05-25 16:13,10
EXID,알러뷰,2018-11-28 0:32,10
EXID,위아래,2016-05-23 17:00,10
EXO,Love Shot,2018-12-17 21:39,10
EXO,Monster,2016-06-11 20:58,10
EXO,Obsession,2019-12-28 0:38,10
EXO-K,중독 (Overdose),2023-02-02 1:25,10
Flo Rida,Wild Ones (Feat. Sia),2019-01-07 19:38,10
HAON,"Graduation (Feat. VINXEN, Rohann)",2020-04-01 0:08,10
iKON,리듬 타 (RHYTHM TA),2015-11-17 18:38,10
iKON,사랑을 했다 (LOVE SCENARIO),2018-02-23 21:04,10
